Year,Intrest Rate
2013-01,1.9
2013-02,2
2013-03,1.9
2013-04,1.7
2013-05,1.7
2013-06,1.6
2013-07,1.7
2013-08,1.8
2013-09,1.7
2013-10,1.7
2013-11,1.7
2013-12,1.7
2014-01,1.6
2014-02,1.6
2014-03,1.7
2014-04,1.8
2014-05,2
2014-06,1.9
2014-07,1.9
2014-08,1.7
2014-09,1.7
2014-10,1.8
2014-11,1.7
2014-12,1.6
2015-01,1.6
2015-02,1.7
2015-03,1.8
2015-04,1.8
2015-05,1.7
2015-06,1.8
2015-07,1.8
2015-08,1.8
2015-09,1.9
2015-10,1.9
2015-11,2
2015-12,2.1
2016-01,2.2
2016-02,2.3
2016-03,2.2
2016-04,2.1
2016-05,2.2
2016-06,2.2
2016-07,2.2
2016-08,2.3
2016-09,2.2
2016-10,2.1
2016-11,2.1
2016-12,2.2
2017-01,2.3
2017-02,2.2
2017-03,2
2017-04,1.9
2017-05,1.7
2017-06,1.7
2017-07,1.7
2017-08,1.7
2017-09,1.7
2017-10,1.8
2017-11,1.7
2017-12,1.8
2018-01,1.8
2018-02,1.8
2018-03,2.1
2018-04,2.1
2018-05,2.2
2018-06,2.3
2018-07,2.4
2018-08,2.2
2018-09,2.2
2018-10,2.1
2018-11,2.2
2018-12,2.2
2019-01,2.2
2019-02,2.1
2019-03,2
2019-04,2.1
2019-05,2
2019-06,2.1
2019-07,2.2
2019-08,2.4
2019-09,2.4
2019-10,2.3
2019-11,2.3
2019-12,2.3
2020-01,2.3
2020-02,2.4
2020-03,2.1
2020-04,1.4
2020-05,1.2
2020-06,1.2
2020-07,1.6
2020-08,1.7
2020-09,1.7
2020-10,1.6
2020-11,1.6
2020-12,1.6
2021-01,1.4
2021-02,1.3
2021-03,1.6
2021-04,3
2021-05,3.8
2021-06,4.5
2021-07,4.3
2021-08,4
2021-09,4
2021-10,4.6
2021-11,4.9
2021-12,5.5